depth	latitude	longitude	chl	phyc	time
1.5413754	23.0	121.75	0.06547584	0.36111665	2021-10-01
1.5413754	23.0	122.0	0.06121554	0.34796304	2021-10-01
1.5413754	23.0	122.25	0.039838962	0.27664137	2021-10-01
1.5413754	23.0	122.5	0.020428225	0.2029076	2021-10-01
1.5413754	23.0	122.75	0.014497521	0.17099442	2021-10-01
1.5413754	23.0	123.0	0.014166202	0.1619467	2021-10-01
1.5413754	23.25	119.25	0.072091065	0.3485805	2021-10-01
1.5413754	23.25	119.5	0.1305764	0.6227875	2021-10-01
1.5413754	23.25	119.75	0.044131722	0.25988048	2021-10-01
1.5413754	23.25	120.0	0.072167255	0.4320337	2021-10-01
1.5413754	23.25	121.5	0.04556144	0.27729863	2021-10-01
1.5413754	23.25	121.75	0.06013203	0.33608255	2021-10-01
1.5413754	23.25	122.0	0.062532865	0.3528722	2021-10-01
1.5413754	23.25	122.25	0.050238553	0.31466407	2021-10-01
1.5413754	23.25	122.5	0.030558981	0.2447482	2021-10-01
1.5413754	23.25	122.75	0.01827193	0.19428205	2021-10-01
1.5413754	23.25	123.0	0.014540309	0.17139883	2021-10-01
1.5413754	23.5	119.25	0.08712336	0.36547467	2021-10-01
1.5413754	23.5	119.5	0.12514731	0.58788514	2021-10-01
1.5413754	23.5	119.75	0.09357349	0.38433954	2021-10-01
1.5413754	23.5	120.0	0.12188913	0.6485524	2021-10-01
1.5413754	23.5	121.75	0.052800704	0.3011628	2021-10-01
1.5413754	23.5	122.0	0.060523283	0.34052894	2021-10-01
1.5413754	23.5	122.25	0.052928977	0.32187027	2021-10-01
1.5413754	23.5	122.5	0.037361827	0.27012968	2021-10-01
1.5413754	23.5	122.75	0.024993546	0.22337931	2021-10-01
1.5413754	23.5	123.0	0.018097682	0.19397557	2021-10-01
1.5413754	23.75	119.25	0.124681294	0.46746284	2021-10-01
1.5413754	23.75	119.5	0.17467445	0.68155736	2021-10-01
1.5413754	23.75	119.75	0.21306865	0.7738337	2021-10-01
1.5413754	23.75	120.0	0.18328848	0.8689154	2021-10-01
1.5413754	23.75	121.75	0.045187768	0.26052055	2021-10-01
1.5413754	23.75	122.0	0.05781436	0.31905058	2021-10-01
1.5413754	23.75	122.25	0.053385824	0.3112175	2021-10-01
1.5413754	23.75	122.5	0.039049916	0.272778	2021-10-01
1.5413754	23.75	122.75	0.027923662	0.23060344	2021-10-01
1.5413754	23.75	123.0	0.021420076	0.2031621	2021-10-01
1.5413754	24.0	119.25	0.16098902	0.6142879	2021-10-01
1.5413754	24.0	119.5	0.24061877	0.9432387	2021-10-01
1.5413754	24.0	119.75	0.26781562	1.0736952	2021-10-01
1.5413754	24.0	120.0	0.2440109	1.009398	2021-10-01
1.5413754	24.0	120.25	0.19774511	0.9448799	2021-10-01
1.5413754	24.0	121.75	0.043122202	0.23063181	2021-10-01
1.5413754	24.0	122.0	0.0531537	0.2861796	2021-10-01
1.5413754	24.0	122.25	0.05265238	0.2928539	2021-10-01
1.5413754	24.0	122.5	0.04070253	0.26663148	2021-10-01
1.5413754	24.0	122.75	0.028444126	0.22847548	2021-10-01
1.5413754	24.0	123.0	0.020551922	0.19889346	2021-10-01
1.5413754	24.25	119.25	0.21618494	0.7622737	2021-10-01
1.5413754	24.25	119.5	0.2126809	0.8638385	2021-10-01
1.5413754	24.25	119.75	0.19178486	0.80730855	2021-10-01
1.5413754	24.25	120.0	0.21298686	0.88802105	2021-10-01
1.5413754	24.25	120.25	0.19448683	0.8334786	2021-10-01
1.5413754	24.25	121.75	0.05991266	0.26322168	2021-10-01
1.5413754	24.25	122.0	0.055094507	0.26720768	2021-10-01
1.5413754	24.25	122.25	0.05328749	0.27634445	2021-10-01
1.5413754	24.25	122.5	0.042127278	0.2574065	2021-10-01
1.5413754	24.25	122.75	0.026837584	0.21369667	2021-10-01
1.5413754	24.25	123.0	0.021142017	0.18524586	2021-10-01
1.5413754	24.5	119.25	0.27223605	0.8613468	2021-10-01
1.5413754	24.5	119.5	0.26557466	0.87894446	2021-10-01
1.5413754	24.5	119.75	0.2515796	0.8711094	2021-10-01
1.5413754	24.5	120.0	0.24599947	0.8349272	2021-10-01
1.5413754	24.5	120.25	0.22040674	0.7921749	2021-10-01
1.5413754	24.5	120.5	0.18892458	0.756184	2021-10-01
1.5413754	24.5	122.0	0.06047562	0.27770126	2021-10-01
1.5413754	24.5	122.25	0.054163106	0.26472238	2021-10-01
1.5413754	24.5	122.5	0.044937477	0.24895354	2021-10-01
1.5413754	24.5	122.75	0.029198281	0.21375093	2021-10-01
1.5413754	24.5	123.0	0.023629775	0.1908911	2021-10-01
